isin,tradingsymbol,category,margin,leverage
INE117A01022,ABB,fo,26.1,3.83
INE208C01025,AEGISLOG,non_fo,34.96,2.86
INE885A01032,ARE&M,non_fo,31.19,3.21
INE032A01023,BOMDYEING,non_fo,36.03,2.78
INE100A01010,ATUL,non_fo,28.39,3.52
INE193E01025,BAJAJELEC,non_fo,30.57,3.27
INE306A01021,BAJAJHIND,non_fo,34.5,2.9
INE451A01017,FORCEMOT,fo,33.9,2.95
INE296A01032,BAJFINANCE,fo,24.8,4.03
INE119A01028,BALRAMCHIN,non_fo,31.15,3.21
INE213C01025,BANCOINDIA,non_fo,38.85,2.57
INE055A01016,ABREL,non_fo,34.7,2.88
INE459A01010,BANARISUG,non_categorized,50,2
INE373A01013,BASF,non_fo,31.21,3.2
INE176A01028,BATAINDIA,non_fo,28.16,3.55
INE258A01024,BEML,non_fo,36.14,2.77
INE263A01024,BEL,fo,25,4
INE922A01025,BEPL,non_fo,31.04,3.22
INE472A01039,BLUESTARCO,fo,26.9,3.72
INE486A01021,CESC,non_fo,30.5,3.28
INE085A01013,CHAMBLFERT,non_fo,30.77,3.25
INE302A01020,EXIDEIND,fo,25.5,3.92
INE059A01026,CIPLA,fo,22.6,4.42
INE007A01025,CRISIL,non_fo,29.25,3.42
INE067A01029,CGPOWER,fo,27.1,3.69
INE016A01026,DABUR,fo,22.8,4.39
INE495A01022,DALMIASUG,non_fo,34.21,2.92
INE034A01011,ARVIND,non_fo,34.2,2.92
INE257A01026,BHEL,fo,28.5,3.51
INE094A01015,HINDPETRO,fo,27.7,3.61
INE039A01010,IFCI,non_fo,39.73,2.52
INE153A01019,MTNL,non_fo,38.35,2.61
INE103A01014,MRPL,non_fo,37.97,2.63
INE178A01016,CHENNPETRO,non_fo,37.67,2.65
INE062A01020,SBIN,fo,23.4,4.27
INE114A01011,SAIL,fo,28.3,3.53
INE280A01028,TITAN,fo,23.2,4.31
INE008A01015,IDBI,non_fo,36.24,2.76
INE500A01029,DCW,non_fo,37.77,2.65
INE041A01016,DHAMPURSUG,non_fo,33.03,3.03
INE280B01018,ELANTAS,non_categorized,50,2
INE089A01031,DRREDDY,fo,22.8,4.39
INE126A01031,EIDPARRY,non_fo,29.78,3.36
INE199A01012,PGHL,non_fo,27.34,3.66
INE086A01029,ELECTCAST,non_fo,38.78,2.58
